;0;1;2
119;-9.358851;-11.496989;10.701832
120;-18.425274;4.0168614;-11.738579
121;-2.8221989;-10.946121;13.943711
122;0.40834987;6.3895087;10.559848
123;11.088846;-20.355614;9.448935
124;3.0845354;-18.262917;8.721816
125;5.2458334;-17.86973;16.416012
126;2.2840517;-15.302139;12.936041
127;-4.2645354;-19.050365;-2.196271
128;-12.452032;-15.700386;14.154047
129;-2.2495465;6.1342525;-10.131932
130;-8.157247;-9.304412;7.7148385
131;1.5658538;-20.327599;3.618401
132;1.813869;-23.43552;4.261557
133;-3.8445313;2.7899866;12.963894
134;10.527479;7.8067303;8.777125
135;-4.176059;-5.1199245;5.662568
136;3.7002444;1.8776032;6.401281
137;3.0055096;7.44318;20.239807
138;-18.611462;5.341229;7.9409003
139;-12.0566845;-16.985992;13.045426
140;-1.6254121;-4.334132;-8.263757
141;-9.993329;14.831878;12.050025
142;0.9918437;20.94737;-11.46284
143;-4.9154735;-20.920313;0.11169579
144;-17.150139;4.2242446;7.100971
145;5.5060644;-7.5713334;3.8282502
146;15.568586;-0.40417174;11.428374
147;2.3924956;-9.850783;18.854116
148;-3.1015084;6.4383273;-6.111962
149;-4.015942;-19.416985;10.796962
150;-6.8101377;-16.796926;17.476553
151;-2.4140077;-15.510633;18.700167
152;11.9978285;-1.8377985;17.122377
153;0.3322805;-1.2435967;11.699995
154;5.4544272;-18.675255;14.054047
155;-20.799782;-2.5810213;5.6188464
156;7.814305;9.726826;4.6787786
157;-9.5313835;17.055346;8.920756
158;-8.27389;-20.224558;-0.90461814
159;-13.058054;7.559196;7.119944
160;11.390956;-19.361803;10.601725
161;-7.5471354;-3.4379523;13.831885
162;-5.417483;3.991973;17.904669
163;2.0322707;3.7307353;19.337906
164;16.677809;1.7137828;11.109293
165;5.2927;-6.018973;12.503245
166;-2.3010507;-3.9169655;21.070753
167;-13.155676;4.527132;-7.840859
168;-20.253006;10.146593;6.9803343
169;-9.214749;-1.5357947;20.093443
170;7.7477813;-13.620664;19.015196
171;-4.097616;-15.402999;1.7230877
172;6.148845;5.379092;11.05584
173;3.7558079;-6.518953;0.26300582
174;-22.074238;-6.176295;-5.3618107
175;2.7982864;-17.587349;18.262451
176;-13.999414;7.9973154;7.15864
177;6.0115952;-21.23297;4.1993127
178;1.6025529;-17.273308;10.710821
179;1.3616533;-8.700338;9.089305
180;-3.7763023;8.676647;18.427912
181;8.453965;-13.657509;12.535491
182;-18.994934;7.0619416;11.408833
183;-9.176187;-9.293749;14.700144
184;6.707037;-12.761414;15.04995
185;-5.258842;3.5534499;13.644412
186;8.53616;-22.25909;7.1800523
187;-5.671209;-19.400234;-1.4466616
188;7.91398;-11.074509;-0.51491094
189;-9.318528;0.3727892;18.87211
190;-5.430428;15.306662;5.904387
191;16.025436;2.1664758;4.8335114
192;22.966108;9.465273;-5.407315
193;-3.9676998;-16.573193;14.702492
194;3.529047;-14.609875;5.278475
195;8.711811;-15.174697;6.946143
196;-8.399859;-11.751032;8.812163
197;-14.673055;0.24418281;-3.194028
198;-5.698842;-21.153673;2.652483
199;-6.6981745;-3.1257577;8.422623
200;-1.4751376;-3.8473732;7.044886
201;-4.224448;-1.7569238;13.688403
202;-23.67724;1.3467041;3.8378854
203;-10.748126;15.652558;12.01182
204;-1.990841;-17.676184;3.8712695
205;-9.621218;-16.55193;15.246481
206;-11.798052;0.4494456;-15.017393
207;10.549683;-4.9629884;14.1652775
